Instruction at 0x401240 in routine: _start | nop edx, edi | Category: WIDENOP
Instruction at 0x401244 in routine: _start | xor ebp, ebp | Category: LOGICAL
Instruction at 0x401246 in routine: _start | mov r9, rdx | Category: DATAXFER
Instruction at 0x401249 in routine: _start | pop rsi | Category: POP
Instruction at 0x40124a in routine: _start | mov rdx, rsp | Category: DATAXFER
Instruction at 0x40124d in routine: _start | and rsp, 0xfffffffffffffff0 | Category: LOGICAL
Instruction at 0x401251 in routine: _start | push rax | Category: PUSH
Instruction at 0x401252 in routine: _start | push rsp | Category: PUSH
Instruction at 0x401253 in routine: _start | xor r8d, r8d | Category: LOGICAL
Instruction at 0x401256 in routine: _start | xor ecx, ecx | Category: LOGICAL
Instruction at 0x401258 in routine: _start | mov rdi, 0x402183 | Category: DATAXFER
Instruction at 0x40125f in routine: _start | call qword ptr [rip+0x3d7b] | Category: CALL
Instruction at 0x401320 in routine: frame_dummy | nop edx, edi | Category: WIDENOP
Instruction at 0x401324 in routine: frame_dummy | jmp 0x4012b0 | Category: UNCOND_BR
Instruction at 0x4012b0 in routine: register_tm_clones | lea rdi, ptr [rip+0x3e71] | Category: MISC
Instruction at 0x4012b7 in routine: register_tm_clones | lea rsi, ptr [rip+0x3e6a] | Category: MISC
Instruction at 0x4012be in routine: register_tm_clones | sub rsi, rdi | Category: BINARY
Instruction at 0x4012c1 in routine: register_tm_clones | mov rax, rsi | Category: DATAXFER
Instruction at 0x4012c4 in routine: register_tm_clones | shr rsi, 0x3f | Category: SHIFT
Instruction at 0x4012c8 in routine: register_tm_clones | sar rax, 0x3 | Category: SHIFT
Instruction at 0x4012cc in routine: register_tm_clones | add rsi, rax | Category: BINARY
Instruction at 0x4012cf in routine: register_tm_clones | sar rsi, 0x1 | Category: SHIFT
Instruction at 0x4012d2 in routine: register_tm_clones | jz 0x4012e8 | Category: COND_BR
Instruction at 0x4012d4 in routine: register_tm_clones | mov rax, qword ptr [rip+0x3d1d] | Category: DATAXFER
Instruction at 0x4012db in routine: register_tm_clones | test rax, rax | Category: LOGICAL
Instruction at 0x4012de in routine: register_tm_clones | jz 0x4012e8 | Category: COND_BR
Instruction at 0x4012e0 in routine: register_tm_clones | jmp rax | Category: UNCOND_BR
Instruction at 0x4012e8 in routine: register_tm_clones | ret  | Category: RET
Instruction at 0x402183 in routine: main | push rbp | Category: PUSH
Instruction at 0x402184 in routine: main | mov rbp, rsp | Category: DATAXFER
Instruction at 0x402187 in routine: main | mov esi, 0x4039c1 | Category: DATAXFER
Instruction at 0x40218c in routine: main | mov edi, 0x4039c3 | Category: DATAXFER
Instruction at 0x402191 in routine: main | call 0x4011b0 | Category: CALL
Instruction at 0x402196 in routine: main | mov qword ptr [rip+0x2f93], rax | Category: DATAXFER
Instruction at 0x40219d in routine: main | mov rax, qword ptr [rip+0x2f8c] | Category: DATAXFER
Instruction at 0x4021a4 in routine: main | test rax, rax | Category: LOGICAL
Instruction at 0x4021a7 in routine: main | jnz 0x4021ba | Category: COND_BR
Instruction at 0x4021a9 in routine: main | mov edi, 0x4039db | Category: DATAXFER
Instruction at 0x4021ae in routine: main | call 0x4011c0 | Category: CALL
Instruction at 0x4021ba in routine: main | mov edi, 0x4039f8 | Category: DATAXFER
Instruction at 0x4021bf in routine: main | call 0x401040 | Category: CALL
Instruction at 0x4021c4 in routine: main | mov eax, 0x0 | Category: DATAXFER
Instruction at 0x4021c9 in routine: main | call 0x401963 | Category: CALL
Instruction at 0x401963 in routine: test_floating_point_operations | push rbp | Category: PUSH
Instruction at 0x401964 in routine: test_floating_point_operations | mov rbp, rsp | Category: DATAXFER
Instruction at 0x401967 in routine: test_floating_point_operations | sub rsp, 0x20 | Category: BINARY
Instruction at 0x40196b in routine: test_floating_point_operations | movss xmm0, dword ptr [rip+0x20f9] | Category: DATAXFER
Instruction at 0x401973 in routine: test_floating_point_operations | movss dword ptr [rbp-0x4], xmm0 | Category: DATAXFER
Instruction at 0x401978 in routine: test_floating_point_operations | movss xmm0, dword ptr [rip+0x20f0] | Category: DATAXFER
